case_id,arch,anchored,pose,noise,weighted,nms_radius,n_peaks,rank
dram_unanchored_pose-small_0122,dram,unanchored,small,medium,False,2,30,-1
dram_unanchored_pose-small_0122,dram,unanchored,small,medium,False,4,30,-1
dram_unanchored_pose-small_0122,dram,unanchored,small,medium,False,8,30,-1
dram_unanchored_pose-small_0122,dram,unanchored,small,medium,False,16,30,-1
dram_unanchored_pose-small_0122,dram,unanchored,small,medium,True,2,30,-1
dram_unanchored_pose-small_0122,dram,unanchored,small,medium,True,4,30,-1
dram_unanchored_pose-small_0122,dram,unanchored,small,medium,True,8,30,-1
dram_unanchored_pose-small_0122,dram,unanchored,small,medium,True,16,30,-1
dram_unanchored_pose-small_0123,dram,unanchored,small,medium,False,2,30,-1
dram_unanchored_pose-small_0123,dram,unanchored,small,medium,False,4,30,-1
dram_unanchored_pose-small_0123,dram,unanchored,small,medium,False,8,30,-1
dram_unanchored_pose-small_0123,dram,unanchored,small,medium,False,16,30,-1
dram_unanchored_pose-small_0123,dram,unanchored,small,medium,True,2,30,-1
dram_unanchored_pose-small_0123,dram,unanchored,small,medium,True,4,30,-1
dram_unanchored_pose-small_0123,dram,unanchored,small,medium,True,8,30,-1
dram_unanchored_pose-small_0123,dram,unanchored,small,medium,True,16,30,-1
dram_unanchored_pose-small_0124,dram,unanchored,small,medium,False,2,30,-1
dram_unanchored_pose-small_0124,dram,unanchored,small,medium,False,4,30,-1
dram_unanchored_pose-small_0124,dram,unanchored,small,medium,False,8,30,-1
dram_unanchored_pose-small_0124,dram,unanchored,small,medium,False,16,30,-1
dram_unanchored_pose-small_0124,dram,unanchored,small,medium,True,2,30,-1
dram_unanchored_pose-small_0124,dram,unanchored,small,medium,True,4,30,-1
dram_unanchored_pose-small_0124,dram,unanchored,small,medium,True,8,30,-1
dram_unanchored_pose-small_0124,dram,unanchored,small,medium,True,16,30,-1
dram_unanchored_pose-small_0125,dram,unanchored,small,medium,False,2,30,-1
dram_unanchored_pose-small_0125,dram,unanchored,small,medium,False,4,30,-1
dram_unanchored_pose-small_0125,dram,unanchored,small,medium,False,8,30,-1
dram_unanchored_pose-small_0125,dram,unanchored,small,medium,False,16,30,-1
dram_unanchored_pose-small_0125,dram,unanchored,small,medium,True,2,30,-1
dram_unanchored_pose-small_0125,dram,unanchored,small,medium,True,4,30,-1
dram_unanchored_pose-small_0125,dram,unanchored,small,medium,True,8,30,-1
dram_unanchored_pose-small_0125,dram,unanchored,small,medium,True,16,30,-1
dram_unanchored_pose-small_0126,dram,unanchored,small,high,False,2,30,-1
dram_unanchored_pose-small_0126,dram,unanchored,small,high,False,4,30,-1
dram_unanchored_pose-small_0126,dram,unanchored,small,high,False,8,30,-1
dram_unanchored_pose-small_0126,dram,unanchored,small,high,False,16,30,-1
dram_unanchored_pose-small_0126,dram,unanchored,small,high,True,2,30,-1
dram_unanchored_pose-small_0126,dram,unanchored,small,high,True,4,30,-1
dram_unanchored_pose-small_0126,dram,unanchored,small,high,True,8,30,-1
dram_unanchored_pose-small_0126,dram,unanchored,small,high,True,16,30,-1
dram_unanchored_pose-small_0127,dram,unanchored,small,high,False,2,30,-1
dram_unanchored_pose-small_0127,dram,unanchored,small,high,False,4,30,-1
dram_unanchored_pose-small_0127,dram,unanchored,small,high,False,8,30,-1
dram_unanchored_pose-small_0127,dram,unanchored,small,high,False,16,30,-1
dram_unanchored_pose-small_0127,dram,unanchored,small,high,True,2,30,-1
dram_unanchored_pose-small_0127,dram,unanchored,small,high,True,4,30,-1
dram_unanchored_pose-small_0127,dram,unanchored,small,high,True,8,30,-1
dram_unanchored_pose-small_0127,dram,unanchored,small,high,True,16,30,-1
dram_unanchored_pose-small_0128,dram,unanchored,small,high,False,2,30,-1
